idx,im_std,clicks,spent,success
192,-0.5503131203966681,4,6.050000191,-1.0
193,-0.4160257856262691,12,19.88000035,-1.0
194,-0.5595213947809241,3,4.529999971,1.0
195,-0.5461725942412475,5,6.779999852,-1.0
196,-0.5604454195368442,2,3.090000033,1.0
197,-0.5670254989405938,2,3.140000105,-1.0
198,-0.5396372772824215,6,7.5400002,1.0
199,-0.570977383363837,1,0.99000001,-1.0
200,-0.35870747490177035,19,34.1500001,-1.0
201,-0.5756230856833939,2,3.090000033,-1.0
202,-0.5589586669018862,4,3.959999919,-1.0
203,-0.5647809820594314,2,2.650000095,1.0
204,-0.5197052000215008,5,8.179999828,-1.0
205,-0.5659160297699908,4,4.130000114,1.0
206,-0.5626707525130394,4,5.389999866,-1.0
207,-0.5726495804134779,1,0.720000029,1.0
208,-0.5732123082925158,1,1.679999948,1.0
209,-0.4634420040701981,14,19.10000038,-1.0
210,-0.571217182175927,2,3.579999924,1.0
211,-0.579130542974897,1,1.580000043,-1.0
212,-0.5772697041930785,2,2.75,1.0
213,-0.23747159014405622,25,41.29000068,-1.0
214,-0.5501372679344688,7,9.410000324,-1.0
215,-0.49107002454046045,9,13.40999985,-1.0
216,-0.5829833105558095,1,0.949999988,-1.0
217,-0.3107956722461887,24,32.28999996,-1.0
218,-0.5742898042881734,2,1.730000019,1.0
219,-0.5695034199988571,1,0.889999986,-1.0
220,-0.5659320163574634,1,1.379999995,-1.0
221,-0.4313697122825344,8,10.2299999,1.0
222,-0.509790318470953,3,4.429999828,-1.0
223,-0.5317878628333421,4,3.829999924,-1.0
224,-0.5713226936532466,1,1.110000014,-1.0
225,-0.5470198833772989,4,5.349999905,-1.0
226,-0.5599178621502463,3,3.950000048,1.0
227,-0.5670670640680228,3,4.019999981,-1.0
228,-0.582967323968337,1,1.330000043,1.0
229,-0.5699638337180699,2,3.089999914,-1.0
230,-0.5784239358086051,1,1.419999957,1.0
231,-0.514496769822906,4,6.019999981,-1.0
232,-0.5811480503139475,1,1.230000019,1.0
233,-0.07798619619924006,56,77.07999969,-1.0
234,-0.518573349628436,7,9.329999924,-1.0
235,-0.5534912539862343,3,4.090000033,-1.0
236,-0.5772984800505293,1,1.370000005,1.0
237,-0.5680230619988882,1,1.379999995,1.0
238,-0.5300868899262504,4,5.909999967,1.0
239,-0.5421535661506192,5,6.910000086,-1.0
240,-0.5187364128206572,7,9.539999962,-1.0
241,-0.454125020891128,13,17.30000037,-1.0
242,-0.5763584687071366,2,1.309999943,-1.0
243,-0.5457153778395293,3,4.079999924,1.0
244,-0.42207191300843155,12,17.92999995,1.0
245,-0.5819953394499988,1,1.220000029,-1.0
246,-0.5704530232947336,3,4.569999933,1.0
247,-0.5785166580159465,2,2.269999981,-1.0
248,-0.5816532264780837,1,1.029999971,-1.0
249,-0.32435869305799897,26,36.13000035,-1.0
250,-0.5783727787286925,1,1.370000005,-1.0
251,-0.5783088323788018,1,1.539999962,-1.0
252,-0.07230456301145437,41,59.06999993,-1.0
253,-0.5387420283839521,6,7.810000062,-1.0
254,-0.3614763518520362,20,28.5,-1.0
